word	meaning
a / an	a/an (부정관사)
about	~에 대해
above	~위에
across	~을 가로질러
action	행동
activity	활동
actor	배우(남)
actress	배우(여)
add	더하다
address	주소
adult	어른
advice	조언
afraid	두려운
after	~후에
afternoon	오후
again	다시
age	나이
ago	~전에
agree	동의하다
air	공기
airport	공항
all	모든
also	또한
always	항상
amazing	놀라운
and	그리고
angry	화난
animal	동물
another	또 다른
answer	대답
any	어떤
anyone	누구든지
anything	무엇이든
apartment	아파트
apple	사과
area	지역
arm	팔
around	주위에
arrive	도착하다
art	예술
article	기사, 관사
artist	예술가
ask	묻다
aunt	이모, 고모
autumn	가을
away	멀리
baby	아기
back	뒤, 등
bad	나쁜
bag	가방
ball	공
banana	바나나
band	밴드
bank	은행
bath	목욕
bathroom	화장실
be	~이다
beach	해변
beautiful	아름다운
because	왜냐하면
become	~이 되다
bed	침대
bedroom	침실
before	~전에
begin	시작하다
beginning	시작
behind	뒤에
believe	믿다
best	최고의
better	더 좋은
between	~사이에
bicycle	자전거
big	큰
bike	자전거
bill	청구서
bird	새
birthday	생일
black	검은색
blog	블로그
blue	파란색
boat	배
body	몸
book	책
boot	부츠
bored	지루한
boring	지루하게 하는
both	둘 다
bottle	병
box	상자
boy	남자아이
boyfriend	남자친구
bread	빵
break	부수다, 휴식
breakfast	아침식사
bring	가져오다
brother	남자형제
brown	갈색
build	짓다
building	건물
bus	버스
business	사업
busy	바쁜
but	하지만
butter	버터
buy	사다
bye	안녕
cafe	카페
cake	케이크
call	전화하다
camera	카메라
can	~할 수 있다
capital	수도
car	자동차
card	카드
career	직업
carry	나르다
cat	고양이
cent	센트
centre	중심
century	세기
chair	의자
change	바꾸다
cheap	저렴한
check	확인하다
cheese	치즈
chicken	닭고기
child	아이
chocolate	초콜릿
choose	선택하다
cinema	영화관
city	도시
class	수업, 반
classroom	교실
clean	깨끗한
climb	오르다
clock	시계
close	닫다
clothes	옷
club	클럽
coat	코트
coffee	커피
cold	추운
college	대학
colour	색깔
come	오다
common	흔한
company	회사
compare	비교하다
complete	완전한
computer	컴퓨터
concert	콘서트
conversation	대화
cook	요리하다
cooking	요리
cool	시원한, 멋진
correct	맞는
cost	비용
could	~할 수 있었다
country	나라
course	과정
cousin	사촌
cow	소
cream	크림
create	만들다
culture	문화
cup	컵
customer	고객
cut	자르다
dad	아빠
dance	춤추다
dancer	댄서
dangerous	위험한
dark	어두운
date	날짜
daughter	딸
day	날
decide	결정하다
delicious	맛있는
describe	묘사하다
design	디자인
desk	책상
detail	세부사항
dictionary	사전
die	죽다
diet	식단
difference	차이
different	다른
difficult	어려운
dinner	저녁식사
dirty	더러운
discuss	토론하다
dish	요리, 접시
do	하다
doctor	의사
dog	개
dollar	달러
door	문
down	아래로
draw	그리다
dress	드레스
drink	마시다
drive	운전하다
driver	운전자
during	~동안
each	각각
ear	귀
early	이른
east	동쪽
easy	쉬운
eat	먹다
egg	달걀
email	이메일
end	끝
enjoy	즐기다
enough	충분한
euro	유로
evening	저녁
event	행사
ever	언제나
every	모든
everybody	모든 사람
everyone	모든 사람
everything	모든 것
exam	시험
example	예시
excited	신난
exciting	흥미진진한
exercise	운동
expensive	비싼
explain	설명하다
extra	추가의
eye	눈
face	얼굴
family	가족
famous	유명한
fantastic	환상적인
far	멀리
farm	농장
farmer	농부
fast	빠른
fat	살찐
father	아버지
favourite	좋아하는
feel	느끼다
feeling	감정
festival	축제
few	몇 안 되는
fill	채우다
film	영화
find	찾다
fine	좋은
finish	끝내다
fire	불
first	첫 번째
fish	물고기
five	5
flight	비행
floor	바닥
flower	꽃
fly	날다
follow	따르다
food	음식
foot	발
football	축구
for	~을 위해
forget	잊다
free	무료의, 자유로운
friend	친구
friendly	친절한
from	~로부터
front	앞
fruit	과일
full	가득 찬
fun	재미
funny	재미있는
future	미래
game	게임
garden	정원
get	얻다
girl	여자아이
girlfriend	여자친구
give	주다
glass	유리, 잔
go	가다
good	좋은
goodbye	안녕히 가세요
grandfather	할아버지
grandmother	할머니
great	훌륭한
green	초록색
grey	회색
group	그룹
grow	자라다
guitar	기타
gym	체육관
hair	머리카락
half	반
hand	손
happen	일어나다
happy	행복한
hard	어려운, 열심히
hat	모자
hate	싫어하다
have	가지다
head	머리
health	건강
healthy	건강한
hear	듣다
hello	안녕
help	도움
here	여기
high	높은
history	역사
hobby	취미
holiday	휴일
home	집
homework	숙제
hope	바라다
horse	말
hospital	병원
hot	뜨거운
hotel	호텔
hour	시간
house	집
how	어떻게
hundred	백
hungry	배고픈
husband	남편
ice	얼음
ice cream	아이스크림
idea	아이디어
if	만약
imagine	상상하다
important	중요한
improve	개선하다
in	안에
include	포함하다
information	정보
interest	관심
interested	흥미있는
interesting	흥미로운
internet	인터넷
interview	인터뷰
into	~안으로
introduce	소개하다
island	섬
jacket	재킷
jeans	청바지
job	직업
join	합류하다
journey	여행
juice	주스
just	그냥, 방금
keep	유지하다
key	열쇠, 핵심
kilometre	킬로미터
kind	종류
kitchen	부엌
know	알다
land	땅
language	언어
large	큰
late	늦은
later	나중에
laugh	웃다
learn	배우다
leave	떠나다
left	왼쪽
leg	다리
lesson	수업
let	허락하다
letter	편지
library	도서관
life	삶
like	좋아하다
line	선
lion	사자
list	목록
listen	듣다
little	작은
live	살다
local	지역의
long	긴
look	보다
lose	잃다
lot	많이
love	사랑
lunch	점심
machine	기계
magazine	잡지
main	주요한
make	만들다
man	남자
many	많은
map	지도
market	시장
married	결혼한
match	시합, 맞다
maybe	아마도
me	나를
meal	식사
mean	의미하다
meaning	의미
meat	고기
meet	만나다
meeting	회의
member	회원
menu	메뉴
message	메시지
midnight	자정
milk	우유
million	백만
minute	분
miss	그리워하다
mistake	실수
model	모델
modern	현대의
moment	순간
money	돈
month	월
morning	아침
mother	어머니
mountain	산
mouse	쥐, 마우스
mouth	입
move	움직이다
movie	영화
much	많은
mum	엄마
museum	박물관
music	음악
must	~해야 한다
name	이름
natural	자연의
near	가까운
need	필요하다
never	절대 ~않다
new	새로운
news	뉴스
newspaper	신문
next	다음
nice	좋은
night	밤
no	아니오
north	북쪽
nose	코
not	아니다
note	메모
nothing	아무것도 없다
now	지금
number	숫자
nurse	간호사
often	자주
old	늙은, 오래된
only	오직
open	열린
opinion	의견
or	또는
orange	오렌지
order	주문하다
other	다른
our	우리의
out	밖에
outside	밖에
over	위에
own	자신의
page	페이지
paint	그리다
paper	종이
parent	부모
park	공원
part	부분
partner	파트너
party	파티
passport	여권
pay	지불하다
pen	펜
pencil	연필
people	사람들
pepper	후추
perfect	완벽한
person	사람
personal	개인적인
phone	전화
photo	사진
photograph	사진
phrase	구절
piano	피아노
picture	그림
piece	조각
pig	돼지
pink	분홍색
place	장소
plan	계획
plane	비행기
plant	식물
play	놀다
player	선수
please	제발
point	점
police	경찰
pool	수영장
poor	가난한
popular	인기있는
possible	가능한
post	우편, 게시하다
potato	감자
pound	파운드
practice	연습
practise	연습하다
prefer	선호하다
prepare	준비하다
present	선물, 현재
pretty	예쁜
price	가격
probably	아마도
problem	문제
product	제품
programme	프로그램
project	프로젝트
purple	보라색
put	놓다
question	질문
quick	빠른
quickly	빠르게
quiet	조용한
quite	꽤
radio	라디오
rain	비
read	읽다
ready	준비된
real	진짜의
really	정말
reason	이유
red	빨간색
relax	쉬다
remember	기억하다
repeat	반복하다
report	보고서
restaurant	식당
result	결과
return	돌아오다
rice	쌀
rich	부유한
ride	타다
right	오른쪽, 옳은
river	강
road	도로
room	방
rule	규칙
run	달리다
sad	슬픈
salad	샐러드
salt	소금
same	같은
sandwich	샌드위치
say	말하다
school	학교
science	과학
scientist	과학자
sea	바다
see	보다
sell	팔다
send	보내다
sentence	문장
seven	7
share	나누다
she	그녀
shirt	셔츠
shoe	신발
shop	가게
shopping	쇼핑
short	짧은
should	~해야 한다
show	보여주다
shower	샤워
sick	아픈
similar	비슷한
sing	노래하다
singer	가수
sister	여자형제
sit	앉다
situation	상황
six	6
skill	기술
skirt	치마
sleep	자다
slow	느린
small	작은
snow	눈
so	그래서
some	약간
somebody	누군가
someone	누군가
something	무언가
sometimes	때때로
son	아들
song	노래
soon	곧
sorry	미안한
sound	소리
soup	수프
south	남쪽
speak	말하다
special	특별한
spell	철자를 말하다
spend	소비하다
sport	스포츠
spring	봄
stand	서다
star	별
start	시작하다
station	역
stay	머물다
still	여전히
stop	멈추다
story	이야기
street	거리
strong	강한
student	학생
study	공부하다
style	스타일
subject	과목
success	성공
sugar	설탕
summer	여름
sun	태양
supermarket	슈퍼마켓
sure	확신하는
sweater	스웨터
swim	수영하다
swimming	수영
table	테이블
take	취하다
talk	이야기하다
tall	키가 큰
taxi	택시
tea	차
teach	가르치다
teacher	선생님
team	팀
teenager	십대
telephone	전화
television	텔레비전
tell	말하다
ten	10
tennis	테니스
terrible	끔찍한
test	시험
text	문자
than	~보다
thank	감사하다
that	그것
the	그 (정관사)
theatre	극장
their	그들의
them	그들을
then	그때
there	거기에
they	그들
thing	것
think	생각하다
this	이것
thousand	천
three	3
through	~을 통해
ticket	표
time	시간
tired	피곤한
title	제목
to	~에게
today	오늘
together	함께
toilet	화장실
tomato	토마토
tomorrow	내일
tonight	오늘 밤
too	너무, 또한
tooth	이
topic	주제
tourist	관광객
town	마을
traffic	교통
train	기차
travel	여행하다
tree	나무
trip	여행
trousers	바지
true	사실인
try	시도하다
T-shirt	티셔츠
turn	돌다
TV	TV
twelve	12
twenty	20
twice	두 번
two	2
type	종류
umbrella	우산
uncle	삼촌
under	아래에
understand	이해하다
university	대학교
until	~까지
up	위로
use	사용하다
useful	유용한
usually	보통
vacation	방학
vegetable	채소
very	매우
video	비디오
village	마을
visit	방문하다
visitor	방문객
wait	기다리다
waiter	웨이터
wake	깨다
walk	걷다
wall	벽
want	원하다
warm	따뜻한
wash	씻다
watch	보다, 시계
water	물
way	방법, 길
we	우리
wear	입다
weather	날씨
website	웹사이트
week	주
weekend	주말
well	잘
west	서쪽
what	무엇
when	언제
where	어디
which	어느
white	흰색
who	누구
why	왜
wife	아내
will	~할 것이다
win	이기다
window	창문
wine	와인
winter	겨울
with	~와 함께
without	~없이
woman	여자
wonderful	훌륭한
word	단어
work	일하다
world	세계
would	~할 것이다
write	쓰다
wrong	틀린
year	해
yes	예
yesterday	어제
you	너
young	어린
your	너의
ability	능력
able	할 수 있는
abroad	해외에
accept	받아들이다
accident	사고
achieve	성취하다
active	활동적인
actually	실제로
advantage	장점
adventure	모험
advertise	광고하다
advertisement	광고
affect	영향을 미치다
airline	항공사
alive	살아있는
allow	허락하다
almost	거의
alone	혼자
already	이미
although	비록 ~이지만
amount	양
ancient	고대의
ankle	발목
anyway	어쨌든
anywhere	어디서나
app	앱
appear	나타나다
appearance	외모
apply	지원하다
argue	논쟁하다
argument	논쟁
army	군대
arrange	정리하다
assistant	조수
athlete	운동선수
attack	공격
attend	참석하다
attention	주의
attractive	매력적인
audience	청중
author	작가
available	이용 가능한
average	평균
avoid	피하다
award	상
awful	끔찍한
background	배경
badly	나쁘게
bar	막대기
baseball	야구
basketball	농구
beat	이기다
beef	쇠고기
behave	행동하다
behaviour	행동
belong	속하다
belt	벨트
benefit	혜택
billion	10억
biology	생물학
birth	탄생
blood	피
bone	뼈
borrow	빌리다
boss	상사
bottom	바닥
bowl	그릇
brain	뇌
bridge	다리
bright	밝은
brilliant	훌륭한
broken	고장난
brush	솔질하다
burn	타다
camp	캠프
care	돌보다
careful	조심스러운
carefully	조심스럽게
carpet	카펫
cartoon	만화
case	경우
cash	현금
castle	성
catch	잡다
cause	원인
celebrate	축하하다
celebrity	유명인
certain	확실한
certainly	확실히
chance	기회
character	성격
charity	자선단체
chat	이야기하다
chef	요리사
chemistry	화학
choice	선택
church	교회
clear	명확한
clearly	명확하게
clever	영리한
climate	기후
cloud	구름
coast	해안
code	코드
colleague	동료
collect	수집하다
comedy	코미디
comfortable	편안한
comment	의견
communicate	의사소통하다
community	지역사회
compete	경쟁하다
competition	대회
complain	불평하다
condition	상태
conference	회의
connect	연결하다
consider	고려하다
contain	포함하다
continent	대륙
continue	계속하다
control	통제
count	세다
couple	커플
cover	덮다
crazy	미친
creative	창의적인
crime	범죄
criminal	범죄자
crowd	군중
crowded	복잡한
cry	울다
cycle	자전거 타다
daily	매일의
danger	위험
data	데이터
dead	죽은
death	죽음
decision	결정
deep	깊은
definitely	분명히
degree	학위
dentist	치과의사
department	부서
depend	의존하다
desert	사막
designer	디자이너
destroy	파괴하다
develop	발전시키다
device	장치
diary	일기
digital	디지털의
direction	방향
director	감독
disagree	동의하지 않다
disappear	사라지다
disaster	재해
discover	발견하다
disease	질병
distance	거리
document	문서
double	두 배의
download	다운로드
drama	드라마
dream	꿈
drop	떨어뜨리다
drug	약
dry	건조한
earn	벌다
earth	지구
easily	쉽게
education	교육
effect	효과
electricity	전기
electronic	전자의
employee	직원
energy	에너지
engine	엔진
engineer	엔지니어
enormous	거대한
environment	환경
equipment	장비
especially	특히
essay	에세이
everywhere	어디에나
evidence	증거
excellent	훌륭한
expect	기대하다
experience	경험
experiment	실험
expert	전문가
explanation	설명
express	표현하다
extreme	극단적인
extremely	극도로
factory	공장
fail	실패하다
fair	공평한
fan	팬
fashion	패션
fear	두려움
feature	특징
field	들판
fight	싸우다
finger	손가락
fit	맞다, 건강한
fix	고치다
flu	독감
focus	집중하다
foreign	외국의
forest	숲
formal	공식적인
fresh	신선한
fridge	냉장고
furniture	가구
gallery	갤러리
gas	가스
gate	문
general	일반적인
gift	선물
goal	목표
gold	금
golf	골프
government	정부
grass	풀
ground	땅
guest	손님
guide	안내하다
habit	습관
headache	두통
heart	심장
heat	열
heavy	무거운
height	높이
hero	영웅
hide	숨다
hill	언덕
hit	치다
hockey	하키
hold	잡다
hole	구멍
huge	거대한
human	인간
hurt	다치다
identify	확인하다
ill	아픈
illness	질병
image	이미지
immediately	즉시
impossible	불가능한
increase	증가하다
incredible	믿을 수 없는
independent	독립적인
industry	산업
injury	부상
insect	곤충
inside	안에
instruction	지시
instrument	악기
intelligent	지능적인
international	국제적인
invention	발명
invitation	초대
invite	초대하다
involve	포함하다
item	항목
jam	잼
jazz	재즈
joke	농담
journalist	기자
jump	점프하다
kid	아이
kill	죽이다
king	왕
knee	무릎
knife	칼
knowledge	지식
lady	여성
lake	호수
lamp	램프
laptop	노트북
law	법
lawyer	변호사
lazy	게으른
leader	리더
lecture	강의
lemon	레몬
lend	빌려주다
level	수준
lifestyle	생활방식
lift	들어올리다
link	연결
lock	잠그다
loud	큰 소리의
luck	운
lucky	운이 좋은
mail	우편
major	주요한
manage	관리하다
manager	관리자
mark	표시하다
marry	결혼하다
material	재료
mathematics	수학
matter	중요하다
media	미디어
medical	의학의
medicine	약
memory	기억
mention	언급하다
metal	금속
method	방법
middle	중간
mind	마음
mirror	거울
mobile	이동식의
moon	달
movement	움직임
musician	음악가
narrow	좁은
national	국가의
nature	자연
nearly	거의
necessary	필요한
neck	목
nervous	긴장한
network	네트워크
noise	소음
noisy	시끄러운
normal	정상적인
normally	보통
notice	알아채다
novel	소설
ocean	바다
offer	제안하다
oil	기름
opportunity	기회
option	선택지
ordinary	평범한
organization	조직
organize	조직하다
original	원래의
outside	밖에
oven	오븐
pain	고통
palace	궁전
parking	주차
particular	특별한
pass	지나가다
passenger	승객
patient	환자
pattern	패턴
peace	평화
perform	공연하다
perhaps	아마도
permission	허락
personality	성격
pet	반려동물
physical	신체적인
physics	물리학
pick	고르다
pilot	조종사
planet	행성
plastic	플라스틱
plate	접시
platform	플랫폼
pocket	주머니
polite	공손한
pollution	오염
population	인구
position	위치
possibility	가능성
poster	포스터
power	힘
predict	예측하다
prevent	예방하다
print	인쇄하다
prison	감옥
prize	상
process	과정
produce	생산하다
professional	전문적인
professor	교수
progress	진행
promise	약속하다
protect	보호하다
provide	제공하다
public	공공의
publish	출판하다
quality	품질
quantity	양
queen	여왕
race	경주
railway	철도
raise	올리다
rate	비율
rather	오히려
react	반응하다
realize	깨닫다
receive	받다
recently	최근에
recipe	레시피
recognize	인식하다
recommend	추천하다
record	기록하다
recycle	재활용하다
reduce	줄이다
region	지역
regular	규칙적인
relationship	관계
remove	제거하다
repair	수리하다
replace	교체하다
reply	대답하다
reporter	기자
request	요청
research	연구하다
respond	반응하다
response	반응
review	검토하다
role	역할
roof	지붕
route	경로
safe	안전한
salary	월급
sale	판매
save	저장하다
scared	겁먹은
scary	무서운
scene	장면
schedule	일정
score	점수
screen	화면
search	검색하다
season	계절
seat	자리
secret	비밀
seem	~처럼 보이다
sense	감각
serious	심각한
serve	섬기다
service	서비스
several	여러
shake	흔들다
shape	모양
ship	배
shoulder	어깨
shout	소리치다
side	옆
sign	표지판
silver	은
simple	간단한
since	~이후로
single	단일의
site	사이트
size	크기
skin	피부
sky	하늘
smell	냄새
smile	미소
smoke	연기
social	사회적인
society	사회
soft	부드러운
solution	해결책
solve	해결하다
somewhere	어딘가에
sort	종류
source	출처
specific	특정한
speech	연설
speed	속도
spoon	숟가락
square	정사각형
stage	무대
stamp	우표
state	상태
steal	훔치다
step	단계
stomach	배
stone	돌
store	가게
storm	폭풍
strange	이상한
strategy	전략
stress	스트레스
structure	구조
stupid	바보같은
succeed	성공하다
successful	성공적인
such	그런
suddenly	갑자기
suggest	제안하다
suggestion	제안
support	지원하다
surprise	놀라게 하다
surprised	놀란
survey	설문조사
sweet	달콤한
symbol	상징
system	시스템
tablet	태블릿
target	목표
task	과업
taste	맛
technology	기술
temperature	온도
term	용어
thick	두꺼운
thin	얇은
thought	생각
throw	던지다
tip	팁
tool	도구
top	꼭대기
touch	만지다
tour	여행
tourism	관광
towel	수건
tower	탑
toy	장난감
track	트랙
tradition	전통
traditional	전통적인
train	훈련하다
training	훈련
transport	교통
trouble	문제
truck	트럭
typical	전형적인
unfortunately	불행히도
unhappy	불행한
uniform	교복
unit	단위
unusual	특이한
valley	계곡
van	밴
variety	다양성
vehicle	차량
view	전망
virus	바이러스
voice	목소리
war	전쟁
wave	파도
weak	약한
web	웹
wedding	결혼식
weight	무게
wet	젖은
wheel	바퀴
whole	전체의
wild	야생의
wind	바람
winner	승자
wish	바라다
wood	나무
worried	걱정된
worry	걱정하다
worse	더 나쁜
worst	가장 나쁜
yet	아직
zero	영, 0
